url;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5;Url
74630;accento-overdose-pride-edition;xerjoff;Italy;unisex;1,42;201;2022.0;fruity notes, aldehydes, green notes;bulgarian rose, egyptian jasmine, lily-of-the-valley;eucalyptus, pine;unknown;;rose;woody;fruity;aromatic;floral;74630
81775;classique-pride-2023;jean-paul-gaultier;France;unisex;1,91;285;2023.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;sweet;fresh spicy;musky;81775
55514;pride-edition-man;bruno-banani;Germany;men;1,92;59;2019.0;guarana, grapefruit, red apple;walnut, lavender, guava;vetiver, benzoin, amber;unknown;;fruity;nutty;woody;tropical;;55514
60765;le-male-pride-collector;jean-paul-gaultier;France;men;1,93;632;2020.0;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean;francis kurkdjian;;aromatic;warm spicy;fresh spicy;cinnamon;vanilla;60765
81774;le-male-pride-2023;jean-paul-gaultier;France;men;1,95;531;2023.0;yuzu, blood orange;neroli, orange blossom;musk, white woods;unknown;;citrus;white floral;sweet;fresh spicy;green;81774
90393;le-male-pride-2024;jean-paul-gaultier;France;men;1,95;285;2024.0;citruses, yuzu;neroli, orange blossom;woodsy notes, musk;unknown;;white floral;citrus;fresh;soapy;;90393
62728;polo-red-pride-edition;ralph-lauren;USA;men;2,05;107;2020.0;cranberry, pink grapefruit, citron;clary sage, lavender, saffron;amberwood, brazilian redwood, coffee;olivier gillotin;;woody;amber;citrus;warm spicy;aromatic;62728
73607;le-male-pride-edition;jean-paul-gaultier;France;men;2,53;662;2022.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;fresh spicy;sweet;musky;73607
81650;rouge-imperiale;vivamor-parfums;France;unisex;2,62;26;2023.0;saffron, bulgarian rose;australian sandalwood, iris, jasmine;suede, bourbon vanilla, texas cedar;chris maurice;;leather;warm spicy;rose;powdery;metallic;81650
75943;erba-oud;sospiro-perfumes;Italy;unisex;2,66;65;2022.0;orange, bergamot, lemon;melon, saffron, peach, apple;agarwood (oud), leather, vanilla, amber, white musk;christian provenzano;;citrus;oud;fruity;leather;sweet;75943
22530;donald-trump;trump;USA;men;2,68;569;2004.0;cucumber, black basil, mint, citruses;spicy notes, pepper, herbal notes, woody notes;spicy notes, exotic woods, vetiver;annie buzantian;;green;fresh spicy;aromatic;ozonic;aquatic;22530
